name,start_date,end_date,2020-09-01,2020-09-17
BONFIRE,2021-03-08,2021-06-30,FALSE,FALSE
ELLINGTON,2020-12-01,2021-03-17,FALSE,FALSE
"HELLO, GOODBYE AND EVERYTHING IN BETWEEN",2020-10-05,2020-11-09,FALSE,FALSE
LOVE HARD,2020-09-28,2020-11-20,FALSE,FALSE
SOLITARY,2020-09-07,2020-10-16,FALSE,TRUE
UNTITLED GRAHAM KING PROJECT,2020-09-02,2020-10-07,FALSE,TRUE
A CINDERELLA STORY: STARSTRUCK,2020-08-31,2020-09-26,TRUE,TRUE
A FAMILY THROUGH CHRISTMAS,2020-08-12,2020-09-01,TRUE,FALSE
CHASING WATERFALLS,2020-08-17,2020-09-04,TRUE,FALSE
CHRISTMAS WALTZ,2020-09-08,2020-09-26,FALSE,TRUE
CRANBERRY CHRISTMAS,2020-07-27,2020-08-17,FALSE,FALSE
IF I ONLY HAD CHRISTMAS,2020-08-07,2020-08-28,FALSE,FALSE
LOVE AT CEDAR CREEK,2020-08-20,2020-09-04,TRUE,FALSE
LOVE ON THE VINE,2020-08-17,2020-09-01,TRUE,FALSE
MARTHA'S VINEYARD MYSTERIES 3 - SHIPS IN THE NIGHT,2020-08-10,2020-08-29,FALSE,FALSE
MERRY LIDDLE CHRISTMAS WEDDING,2020-08-11,2020-08-29,FALSE,FALSE
MY MOTHER'S  WEDDING,2020-08-04,2020-08-19,FALSE,FALSE
PEARL IN THE MIST,2020-08-17,2020-08-28,FALSE,FALSE
THE CHRISTMAS RING,2020-08-25,2020-09-11,TRUE,FALSE
THE WENDY WILLIAMS STORY,2020-09-21,2020-10-23,FALSE,FALSE
TIMELESS CHRISTMAS,2020-08-17,2020-09-04,TRUE,FALSE
UNDER A LOVER'S MOON,2020-09-21,2020-10-06,FALSE,FALSE
A MILLION LITTLE THINGS – SEASON 3,2020-08-27,2021-05-17,TRUE,TRUE
BATWOMAN – SEASON 2,2020-09-03,2021-05-10,FALSE,TRUE
DAY OF THE DEAD - SEASON 1,2020-09-14,2020-12-04,FALSE,TRUE
DEBRIS - SEASON 1,2020-10-05,2021-01-14,FALSE,FALSE
FAMILY LAW - SEASON 1,2020-07-20,2020-10-14,TRUE,TRUE
GABBY DURAN AND THE UNSITTABLES - SEASON 2,2020-09-14,2021-01-31,FALSE,TRUE
KUNG FU - SEASON 1,2020-10-26,2021-04-20,FALSE,FALSE
LEGENDS OF TOMORROW - SEASON 6,2020-10-05,2021-05-10,FALSE,FALSE
MOTHERLAND FORT SALEM - SEASON 2,2020-10-06,2021-03-12,FALSE,FALSE
RESIDENT ALIEN - SEASON 1,2020-09-10,2020-10-14,FALSE,TRUE
RIVERDALE - SEASON 5,2020-09-14,2021-05-01,FALSE,TRUE
SUPER PUPS - SEASON 1,2020-08-17,2020-10-02,TRUE,TRUE
SUPERMAN & LOIS - SEASON 1,2020-10-13,2021-05-01,FALSE,FALSE
SUPERNATURAL - SEASON 15,2020-08-18,2020-09-11,TRUE,FALSE
THE ASTRONAUTS - SEASON 1,2020-08-04,2020-09-23,TRUE,TRUE
THE BIG SKY - SEASON 1,2020-08-27,2021-01-13,TRUE,TRUE
THE GOOD DOCTOR - SEASON 4,2020-09-02,2021-05-28,FALSE,TRUE
TWO SENTENCE HORROR STORIES - SEASON 2,2020-10-05,2020-12-18,FALSE,FALSE
VAN HELSING - SEASON 5,2020-06-29,2020-09-17,TRUE,TRUE
WHEN CALLS THE HEART - SEASON 8,2020-07-27,2020-11-17,TRUE,TRUE
ZOEY'S EXTRAORDINARY PLAYLIST – SEASON 2,2020-09-21,2021-03-31,FALSE,FALSE
ANOTHER LIFE - SEASON 2,2020-08-28,2020-11-24,TRUE,TRUE
HOME BEFORE DARK - SEASON 2,2020-09-14,2020-12-28,FALSE,TRUE
LOST IN SPACE - SEASON 3,2020-09-09,2021-01-14,FALSE,TRUE
MAID - SEASON 1,2020-09-24,2021-03-04,FALSE,FALSE
MIDNIGHT MASS – SEASON 1,2020-08-17,2020-12-16,TRUE,TRUE
MYSTERIOUS BENEDICT SOCIETY - SEASON 1,2020-08-26,2021-01-19,TRUE,TRUE
PUDDIN - SEASON 1,2020-10-13,2020-12-10,FALSE,FALSE
SEA TO SEA – SEASON 3,2020-08-25,2020-12-11,TRUE,TRUE
THE MIGHTY DUCKS – SEASON 1,2020-08-31,2020-12-17,TRUE,TRUE
THE POWER - SEASON 1,2020-09-21,2021-03-13,FALSE,FALSE
TURNER & HOOCH - SEASON 1,2020-09-22,2021-04-01,FALSE,FALSE
